GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
CDKN1B,Doxorubicin,Homo sapiens,[Doxorubicin co-treated with Cyclophosphamide] affects the expression of CDKN1B mRNA,affects^cotreatment|affects^expression,16322899,D004317
CDKN1B,Doxorubicin,Homo sapiens,Doxorubicin results in increased expression of CDKN1B protein,increases^expression,17935137,D004317
CDKN1B,Doxorubicin,Homo sapiens,Wortmannin promotes the reaction [Doxorubicin results in increased expression of CDKN1B protein],increases^expression|increases^reaction,17935137,D004317
CDKN1B,Dronabinol,Homo sapiens,Dronabinol results in increased expression of CDKN1B mRNA,increases^expression,18454173,D013759
CDKN1B,Dronabinol,Homo sapiens,JUND mutant form inhibits the reaction [Dronabinol results in increased expression of CDKN1B mRNA],decreases^reaction|increases^expression,18454173,D013759
CDKN1B,Dronabinol,Homo sapiens,TES mutant form inhibits the reaction [Dronabinol results in increased expression of CDKN1B mRNA],decreases^reaction|increases^expression,18454173,D013759
CDKN1B,"Drugs, Chinese Herbal",Homo sapiens,"Drugs, Chinese Herbal results in increased expression of CDKN1B protein",increases^expression,23239598|23315830,D004365
CDKN1B,ellipticine,Homo sapiens,ellipticine results in decreased expression of CDKN1B protein,decreases^expression,21843585,C034192
CDKN1B,Endosulfan,Homo sapiens,Endosulfan results in decreased expression of CDKN1B mRNA,decreases^expression,34856488,D004726
CDKN1B,entinostat,Homo sapiens,[fludarabine co-treated with entinostat] results in decreased expression of CDKN1B protein,affects^cotreatment|decreases^expression,15059916,C118739
CDKN1B,enzalutamide,Homo sapiens,enzalutamide affects the expression of CDKN1B mRNA,affects^expression,30940724,C540278
CDKN1B,EPI 001,Homo sapiens,EPI 001 results in increased expression of CDKN1B protein,increases^expression,25669987,C551471
CDKN1B,epigallocatechin gallate,Homo sapiens,[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of CDKN1B mRNA,affects^cotreatment|decreases^expression,22079256,C045651
CDKN1B,equiguard,Homo sapiens,equiguard results in decreased expression of CDKN1B protein,decreases^expression,15547720,C498475
CDKN1B,equiguard,Homo sapiens,equiguard results in increased expression of CDKN1B protein,increases^expression,15547720,C498475
CDKN1B,"erucylphospho-N,N,N-trimethylpropylammonium",Homo sapiens,"erucylphospho-N,N,N-trimethylpropylammonium results in increased expression of CDKN1B",increases^expression,24987858,C472787
CDKN1B,"erucylphospho-N,N,N-trimethylpropylammonium",Homo sapiens,"erucylphospho-N,N,N-trimethylpropylammonium results in increased expression of CDKN1B protein",increases^expression,29464035,C472787
CDKN1B,"erucylphospho-N,N,N-trimethylpropylammonium",Homo sapiens,"RB1 mutant form inhibits the reaction [erucylphospho-N,N,N-trimethylpropylammonium results in increased expression of CDKN1B]",decreases^reaction|increases^expression,24987858,C472787
CDKN1B,esculetin,Homo sapiens,esculetin results in increased expression of CDKN1B protein,increases^expression,31313495,C007628
CDKN1B,Estradiol,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Estradiol results in increased degradation of CDKN1B protein],decreases^reaction|increases^degradation,17283133,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol analog results in increased expression of CDKN1B protein,increases^expression,36460128,D004958
CDKN1B,Estradiol,Homo sapiens,[Estradiol co-treated with Progesterone] results in increased expression of CDKN1B mRNA,affects^cotreatment|increases^expression,22064387,D004958
CDKN1B,Estradiol,Homo sapiens,[Estradiol co-treated with Tetrachlorodibenzodioxin] results in increased expression of CDKN1B protein,affects^cotreatment|increases^expression,9705214,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol inhibits the reaction [Fenofibrate results in decreased expression of CDKN1B protein],decreases^expression|decreases^reaction,29134746,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol promotes the reaction [Medroxyprogesterone Acetate results in increased expression of CDKN1B protein],increases^expression|increases^reaction,17283133,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol results in decreased expression of and results in increased degradation of CDKN1B protein,decreases^expression|increases^degradation,23029392,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol results in decreased expression of CDKN1B mRNA,decreases^expression,22064387,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol results in increased degradation of CDKN1B protein,increases^degradation,17283133,D004958
CDKN1B,Estradiol,Homo sapiens,Estradiol results in increased phosphorylation of CDKN1B protein,increases^phosphorylation,23029392,D004958
CDKN1B,Estradiol,Homo sapiens,Fulvestrant inhibits the reaction [Estradiol results in increased degradation of CDKN1B protein],decreases^reaction|increases^degradation,17283133|23029392,D004958
CDKN1B,Estradiol,Homo sapiens,lactacystin inhibits the reaction [Estradiol results in increased degradation of CDKN1B protein],decreases^reaction|increases^degradation,17283133|23029392,D004958
CDKN1B,Estradiol,Homo sapiens,MAPK1 protein affects the reaction [Estradiol results in increased phosphorylation of CDKN1B protein],affects^reaction|increases^phosphorylation,23029392,D004958
CDKN1B,Estradiol,Homo sapiens,MAPK3 protein affects the reaction [Estradiol results in increased phosphorylation of CDKN1B protein],affects^reaction|increases^phosphorylation,23029392,D004958
CDKN1B,Estradiol,Homo sapiens,Mifepristone inhibits the reaction [[Medroxyprogesterone Acetate co-treated with Estradiol] results in increased expression of CDKN1B protein],affects^cotreatment|decreases^reaction|increases^expression,17283133,D004958
