compound_name,canonical_smiles,molecule_chembl_id,warning_class,warning_type,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Senotherapeutic,DataSet,Senotherapeutic
PERMETHRIN,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,CHEMBL1525,carcinogenicity,Withdrawn,391.293,390.078949,5.8089,-6.469,3,0,286.51,0.11532,35.53,0.92471,0.61538,0.55486,0.75032,1,26,5,0,5,2,7,3,12,8,4,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,NA,No senolytic,approved,853.915,853.330959,3.188,-6.289,15,4,605.19,0.29577,221.29,0.82049,0.32258,0.38593,1.0822,1,62,15,0,15,11,14,7,18,29,7,6,5,1,2,3,3,1,2,3,1,1,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
Taraxerone,CC1(CCC2(CC=C3C4(CCC5C(C(=O)CCC5(C4CCC3(C2C1)C)C)(C)C)C)C)C,NA,No senolytic,approved,424.71,424.370515,7.4843,-6.704,1,0,324.1,0.040234,17.07,-4.4575,0.41935,0.3037,0.96627,1,31,1,0,1,7,0,5,0,27,2,5,5,0,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Nitrilotriacetic acid,C(C(=O)O)N(CC(=O)O)CC(=O)O,NA,No senolytic,approved,191.138,191.042989,-3.8594,0.868,7,3,137.38,0.59667,115.14,-8.1014,0.53846,0.7624,0.49074,1,13,7,0,7,0,6,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,NoSenotherapeutic,0
Ferric nitrilotriacetate,C(C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Fe+3],NA,No senolytic,approved,243.96,191.042989,-3.8594,0.868,7,3,137.38,0.59667,115.14,-8.1014,0.53846,0.7624,0.49074,2,13,7,0,7,0,6,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,NoSenotherapeutic,0
Fulvalene,C1=CC(=C2C=CC=C2)C=C1,NA,No senolytic,approved,128.174,128.0626,1.9462,-1.884,0,0,115.42,0,0,-0.74083,0.6,0,0.49698,1,10,0,0,0,0,0,2,0,0,7,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
"Tetrabenzo[5,7]fulvalene",C1=CC=C2C(=C1)C=CC3=CC=CC=C3C2=C4C5=CC=CC=C5C6=CC=CC=C64,NA,No senolytic,approved,354.451,354.14085,7.1562,-8.212,0,0,274.96,0,0,-1.0458,0.35714,0.092292,0.88752,1,28,0,0,0,0,0,6,24,0,13,6,6,0,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Guayulin C,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2OC(=O)C=CC4=CC=CC=C4)C,NA,No senolytic,approved,366.499,366.219495,4.5801,-4.893,3,1,277.49,0.13024,46.53,-6.0127,0.51852,0.30027,0.87927,1,27,3,0,3,6,4,4,6,15,3,4,4,0,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,NA,No senolytic,approved,325.773,325.078202,3.2751,-6.815,3,0,238,0.12332,30.18,2.7386,0.43478,0.18345,0.90475,1,23,5,0,5,0,1,4,17,2,0,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,2,0,0,0,NoSenotherapeutic,0
"2,4-Dinitrophenyl thiocyanate",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])SC#N,NA,No senolytic,approved,225.184,224.984427,0.0246,-3.145,7,0,159.8,0.57503,140.73,-10.46,0.6,0.45571,0.69969,1,15,8,0,8,0,3,1,6,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
