GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID,SMILES
MAPK1,"2-(1-hydroxy-4-oxocyclohexa-2,5-dienyl)pyran-4-one",Homo sapiens,"2-(1-hydroxy-4-oxocyclohexa-2,5-dienyl)pyran-4-one results in increased activity of MAPK1 protein",increases^activity,24300195,C574037,
MAPK1,"2,2',3,3',4,4',5-heptachlorobiphenyl",Homo sapiens,"2,2',3,3',4,4',5-heptachlorobiphenyl results in increased phosphorylation of MAPK1 protein",increases^phosphorylation,19751709,C541131,C1=CC(=C(C(=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
MAPK1,"2,2',3',4,4',5-hexachlorobiphenyl",Homo sapiens,"2,2',3',4,4',5-hexachlorobiphenyl results in decreased phosphorylation of MAPK1 protein",decreases^phosphorylation,19751709,C029790,C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl
MAPK1,"2,2',3,5',6-pentachlorobiphenyl",Homo sapiens,"2,2',3,5',6-pentachlorobiphenyl results in decreased phosphorylation of MAPK1 protein",decreases^phosphorylation,19751709,C032904,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2Cl)Cl)Cl)Cl
MAPK1,2-(2-(4-(4-nitrobenzyloxy)phenyl)ethyl)isothiourea methanesulfonate,Homo sapiens,2-(2-(4-(4-nitrobenzyloxy)phenyl)ethyl)isothiourea methanesulfonate inhibits the reaction [bufalin results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,10712238,C101670,CS(=O)(=O)O.C1=CC(=CC=C1CCSC(=N)N)OCC2=CC=C(C=C2)[N+](=O)[O-]
MAPK1,"2,2',4,4'-tetrabromodiphenyl ether",Homo sapiens,"2,2',4,4'-tetrabromodiphenyl ether results in decreased expression of MAPK1 protein",decreases^expression,31675489,C511295,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
MAPK1,"2,2',4,6,6'-pentachlorobiphenyl",Homo sapiens,"2,2',4,6,6'-pentachlorobiphenyl results in increased phosphorylation of MAPK1 protein",increases^phosphorylation,16778083,C417207,C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
MAPK1,"2,2',4,6,6'-pentachlorobiphenyl",Homo sapiens,"PD168393 inhibits the reaction [2,2',4,6,6'-pentachlorobiphenyl results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,16778083,C417207,C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
MAPK1,"2,2',4,6,6'-pentachlorobiphenyl",Homo sapiens,"SRC protein promotes the reaction [2,2',4,6,6'-pentachlorobiphenyl results in increased phosphorylation of MAPK1 protein]",increases^phosphorylation|increases^reaction,16611624,C417207,C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
MAPK1,"2,2',4,6,6'-pentachlorobiphenyl",Homo sapiens,"WHI P154 inhibits the reaction [2,2',4,6,6'-pentachlorobiphenyl results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,16778083,C417207,C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,[2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one co-treated with T0901317] inhibits the reaction [Emodin results in increased phosphorylation of MAPK1 protein],affects^cotreatment|decreases^reaction|increases^phosphorylation,26972667,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [1,2-naphthoquinone results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,24067727,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,22453024,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [1-Methyl-4-phenylpyridinium results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,26364587,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [2,3,5-(triglutathion-S-yl)hydroquinone results in increased phosphorylation of and results in increased activity of MAPK1 protein]",decreases^reaction|increases^activity|increases^phosphorylation,21135414,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
