Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:,Leadlikeness
ABBV-744,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,491.561,4.0266,7,3,371.25,0.21059,6,1,True
AS602868,CC1=CC(=O)N(C1=O)NC2=NC(=NC3=C2C(=CC=C3)OC)C4=CC=CS4,366.4,3.1028,7,1,264.07,0.35366,4,1,True
AZ-628,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(C)(C)C#N)NC3=CC4=C(C=C3)N=CN(C4=O)C,451.529,4.6632,7,2,353.92,0.21932,5,1,True
AZD 1480,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=N3)F,348.772,1.3755,8,3,257.86,0.35585,5,1,True
Aflatoxin M1,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C(=C1)OC5C4(C=CO5)O,328.275,0.6222,7,1,213.22,0.37135,1,1,True
Axitinib,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,386.478,3.4441,5,2,299.93,0.25979,5,1,True
BMS 536924,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5,479.966,1.2306,8,4,354.67,0.24691,6,1,True
BMS 754807,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,461.504,2.3302,10,3,336.93,0.31262,6,1,True
Beclomethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,408.92,1.9842,5,3,277.9,0.23526,2,1,True
CPI-0610,CC1=NOC2=C1C3=CC=CC=C3C(=NC2CC(=O)N)C4=CC=C(C=C4)Cl,365.819,3.4003,5,1,270.91,0.23956,3,1,True
CPI203,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)N)C4=CC=C(C=C4)Cl)C,399.905,3.1396,6,1,289.64,0.30724,3,1,True
CRT 0066101,CCC(CNC1=NC(=NC=C1)C2=C(C=CC(=C2)C3=CN(N=C3)C)O)N,338.414,1.0091,7,3,269.13,0.29581,6,1,True
CU-CPT22,CCCCCCOC(=O)C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)OC)O,362.377,1.8242,7,3,274.34,0.31122,8,1,True
Camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,348.357,1.1838,6,1,239.85,0.26558,1,1,True
Catechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27,1.5087,6,5,200.03,0.37744,1,1,True
Cefadroxil,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,363.393,-2.3737,8,4,246.42,0.45893,4,1,True
Cephalothin,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,396.443,0.5912,8,2,270.26,0.47406,7,1,True
Chir 99021,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,465.347,3.6043,8,3,352.4,0.26774,7,1,True
Cloxacillin,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,435.887,2.7038,8,2,293.43,0.37419,4,1,True
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.442,1.863,7,1,308.67,0.25121,5,1,True
Colforsin,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,410.505,1.3206,7,3,288.98,0.29545,3,1,True
Coumestrol,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,268.224,2.8407,5,2,184.26,0.34381,0,1,True
